tt9033632	6.5	1846
tt9083646	6.3	1156
tt9103602	7.1	1878
tt8022676	6.3	1265
tt6958760	6.8	1492
tt6245488	6.9	2222
tt8395220	5.3	898
tt8990334	6.2	640
tt9028866	5.5	794
tt9033636	5.9	632
tt9028802	6.4	975
tt9067272	6.1	410
tt9028890	6.1	756
tt9058902	5.9	521
tt9058820	5.6	2199
tt8942494	7.1	1204
tt9059048	5.8	503
tt9101692	6.6	1437
tt9058944	5.9	750
tt7872704	5.5	848
tt8295976	6.0	1232
tt8443810	6.3	680
tt8672786	5.5	521
tt9102152	5.8	471
tt4012254	6.1	1850
tt5739680	6.9	3139
tt5574012	6.3	1322
tt5675936	6.5	2288
tt7657462	7.1	2202
tt7642542	6.3	1632
tt6085974	6.7	1559
tt5949946	6.3	1919
tt7546978	6.5	1384
tt5944496	6.5	1315
tt7385392	6.4	1622
tt6759380	6.6	1502
tt7714138	5.9	1033
tt7588798	6.7	1935
tt7643644	6.6	1537
tt7647010	6.5	1714
tt7688990	7.1	2864
tt5902138	6.2	1950
tt7006938	6.7	2153
tt7038606	6.7	2838
tt4180032	6.3	5122
tt6131148	6.5	1789
tt6273004	6.6	2338
tt6104760	6.4	2574
tt7038632	6.0	1109
tt7030416	5.9	1225
tt5210078	6.9	1979
tt6269192	7.1	2695
tt4767950	6.2	3002
tt6260218	6.5	1035
tt6321108	6.9	1629
tt7123974	6.3	1427
tt6269700	6.9	1574
tt5156770	6.3	1748
tt2964654	6.5	1856
tt3289944	6.9	1945
tt6605352	6.3	1198
tt7421814	7.3	2671
tt5031014	6.7	2095
tt2107651	6.1	1345
tt7621886	6.5	1456
tt7520274	6.2	1219
tt6319714	6.4	1413
tt7418206	6.6	1230
tt1346983	7.1	3182
tt2094787	5.6	1613
tt1714202	6.1	1086
tt5063384	6.7	1033
tt2343140	6.1	1417
tt1942900	6.1	1154
tt2235348	7.2	1777
tt1737586	5.9	696
tt5675746	6.1	601
tt1629755	6.1	763
tt6131636	7.1	1432
tt3593926	6.9	1575
tt5544464	6.4	550
tt6170838	6.1	480
tt1579306	7.0	1258
tt15793068	6.9	55
tt4658578	6.8	1578
tt5175158	6.6	514
tt5493392	6.3	617
tt10298896	6.3	1092
tt10651668	6.6	1057
tt10771556	5.3	472
tt10887504	6.6	987
tt10571920	6.4	1091
tt10433222	5.9	1171
tt10136898	6.6	1513
tt10768278	6.2	1102
tt9747450	7.1	1302
tt10936658	6.3	1004
tt10553910	7.0	1460
tt10345022	6.5	1556
tt10700392	6.9	607
tt11096888	5.7	1190
tt10642154	6.0	709
tt10481792	5.9	502
tt9382100	6.2	405
tt7919184	5.8	268
tt9760234	6.3	527
tt10346362	5.5	330
tt4286666	5.9	1807
tt10053944	6.5	650
tt10177634	5.6	664
tt8420670	5.9	961
tt8974850	6.6	1562
tt9033308	6.4	1230
tt9101480	6.8	1190
tt8451018	6.6	1184
tt8613908	6.8	2493
tt8732914	6.8	1812
tt8587650	6.5	1766
tt8694374	5.8	1495
tt7616668	6.6	2327
tt7630836	6.5	1743
tt7557728	6.5	1469
tt7704762	6.6	1425
tt7696976	6.2	1230
tt5921218	6.7	3177
tt10975992	6.4	729
tt9543238	5.5	321
tt5971394	6.3	742
tt9749144	5.1	389
tt9730696	5.6	43
tt11864126	6.2	780
tt5864238	6.4	1218
tt10388558	4.6	239
tt10783168	5.8	308
tt10471748	6.6	899
tt10952042	6.2	816
tt10791618	6.4	1004
